char,total_strokes,radical,meaning,category,components,all_radicals
嗫,13,30.10,move lips as when speaking; hesitation,Simplified,"('口', '聂')","['耳', '又', '口']"
噗,15,30.12,burst,Both,"('口', '菐')","['羊', '一', '八', '口']"
吮,7,30.4,"suck with mouth, sip, lick",Both,"('口', '允')","['厶', '口', '儿']"
噂,15,30.12,meet,Both,"('口', '尊')","['寸', '八', '酉', '口']"
囅,22,30.19,smile,Traditional,"('單', '展')","['二', '乙', '丨', '十', '口', '尸', '一', '艸', '冂']"
嘸,15,30.12,unclear; an expletive; not,Traditional,"('口', '無')","['火', '口']"
嘧,14,30.11,pyrimidine,Both,"('口', '密')","['心', '丿', '山', '宀', '口']"
嚄,16,30.14,roar,Both,"('口', '蒦')","['隹', '又', '艸', '口']"
嘠,15,30.12,the chirping of birds loud laughter,Unknown,"('口', '戞')","['丿', '冖', '戈', '月', '一', '口']"
嚱,20,30.17,a shrill noise; alas!,Traditional,"('口', '戲')","['虍', '戈', '豆', '口']"
喭,12,30.9,condole with; coarse,Both,"('口', '彦')","['彡', '厂', '立', '口']"
名,6,30.3,"name, rank, title, position",Both,"('夕', '口')","['口', '夕']"
唏,10,30.7,weep or sob; grieve,Both,"('口', '希')","['一', '丿', '口', '巾']"
喟,12,30.9,"heave sigh, sigh",Both,"('口', '胃')","['月', '田', '口']"
吟,7,30.4,"sing, hum; recite; type of poetry",Both,"('口', '今')","['人', '丶', '口']"
喊,12,30.9,"shout, call out, yell; howl; cry",Both,"('口', '咸')","['一', '戈', '厂', '口']"
嗝,13,30.10,"cackling of fowls to gag, to vomit",Both,"('口', '鬲')","['鬲', '口']"
喾,12,30.9,emperor,Simplified,"('小', '告')","['冖', '小', '牛', '口']"
嘘,14,30.11,exhale; blow out; deep sigh; hiss; praise,Simplified,"('口', '虚')","['虍', '一', '八', '口']"
嘡,14,30.11,"onomatopoeic: clang, bang",Both,"('口', '堂')","['冖', '土', '口', '小']"
唲,11,30.8,forced laughter,Both,"('口', '兒')","['臼', '口', '儿']"
呰,9,30.5,"to slander, revile",Both,"('此', '口')","['止', '匕', '口']"
噁,15,30.12,nastiness; nauseate: sickening,Traditional,"('口', '惡')","['心', '二', '口']"
嚮,17,30.16,"guide, direct; incline to, favor",Traditional,"('鄉', '向')","['丿', '丶', '乙', '丨', '彐', '阝', '宀', '口']"
哳,10,30.7,to twitter,Both,"('口', '折')","['斤', '手', '口']"
嚣,18,30.15,be noisy; treat with contempt,Simplified,"('㗊', '页')","['口', '页']"
吆,6,30.3,"bawl, yell, shout, cry out",Both,"('口', '幺')","['幺', '口']"
唼,11,30.8,speaking evil; gobbling sound made by ducks,Both,"('口', '妾')","['女', '立', '口']"
古,5,30.2,"old, classic, ancient",Both,"('十', '口')","['十', '口']"
吶,7,30.4,"raise voice, yell out loud, shout; stammer",Traditional,"('口', '內')","['冂', '入', '口']"
嚚,18,30.15,"argumentative, talkative",Both,"('吕', '臣')","['口', '臣']"
呴,8,30.5,breathe on; yawn; roar,Both,"('口', '句')","['勹', '口']"
嚠,18,30.15,a clear sound,Traditional,"('口', '劉')","['刀', '金', '口', '卩']"
噅,15,30.12,to speak falsely or wrongly; ugly,Traditional,"('口', '為')","['丿', '火', '口', '爪']"
唸,11,30.8,"recite, read, chant",Traditional,"('口', '念')","['心', '人', '丶', '口']"
呙,7,30.4,"chat, jaw, gossip, talk; mouth",Simplified,"('口', '内')","['冂', '人', '口']"
咣,9,30.6,the sound of large door closing,Both,"('口', '光')","['小', '一', '口', '儿']"
和,8,30.5,"harmony, peace; peaceful, calm",Both,"('禾', '口')","['禾', '口']"
吱,7,30.4,"chirping, squeaking, hissing",Both,"('口', '支')","['支', '口']"
右,5,30.2,right; west; right-wing,Both,"('𠂇', '口')","['一', '丿', '口']"
嚜,18,30.15,be silent; final particle,Both,"('口', '墨')","['土', '黑', '口']"
哪,9,30.7,which? where? how?,Both,"('口', '那')","['二', '丨', '阝', '口']"
另,5,30.2,"another, separate, other",Both,"('口', '力')","['力', '口']"
嘴,16,30.12,"mouth, lips",Both,"('口', '觜')","['止', '角', '匕', '口']"
兽,11,12.9 30.8,"beast, animal; bestial",Simplified,"('八田', '𠮛')","['一', '田', '八', '口']"
吊,6,30.3,"condole, mourn, pity; hang",Both,"('口', '巾')","['口', '巾']"
呆,7,30.4,"dull; dull-minded, simple, stupid",Both,"('口', '木')","['木', '口']"
唷,11,30.8,final particle,Both,"('口', '育')","['月', '厶', '亠', '口']"
呹,8,30.5,(of animals) to eat grass,Both,"('口', '失')","['二', '人', '口']"
啚,11,30.8,"low, mean",Unknown,"('口十', '回')","['十', '囗', '口']"
嗥,13,30.10,"roar, call out, wail; bark, yelp",Both,"('口', '皋')","['十', '大', '白', '口']"
噽,17,30.14,"mound, lump; stealthily",Unknown,"('喜', '丕')","['丿', '八', '卜', '士', '一', '口']"
嚬,19,30.16,frown,Traditional,"('口', '頻')","['止', '丿', '小', '頁', '口']"
叶,5,30.2,"to harmonize, to rhyme; to unite; (borrowed for) leaf",Both,"('口', '十')","['十', '口']"
嘤,14,30.11,seek friends; also used in onomatopoetic expressions,Simplified,"('口', '婴')","['女', '口']"
吞,7,30.4,"swallow; absorb, annex, engulf",Both,"('天', '口')","['一', '大', '口']"
呖,7,30.4,used in onomatopoetic expressions,Simplified,"('口', '历')","['力', '厂', '口']"
嘰,15,30.12,sigh in disapproval; take small,Traditional,"('口', '幾')","['幺', '人', '戈', '口']"
嗾,14,30.11,"to set a dog on; incite, instigate",Both,"('口', '族')","['丿', '方', '矢', '一', '口']"
吠,7,30.4,bark,Both,"('口', '犬')","['口', '犬']"
呏,7,30.4,gallon; quart,Both,"('口', '升')","['艸', '口']"
哝,9,30.6,whisper,Simplified,"('口', '农')","['口', '巾']"
后,6,30.3,"queen, empress, sovereign; (simp. for 後) behind, rear, after",Both,"('⺁', '𠮛')","['一', '口', '⺁']"
同,6,30.3,"same, similar; together with",Both,"('冂', '𠮛')","['一', '口', '冂']"
嘩,13,30.12,rushing sound; gush forward,Traditional,"('口', '華')","['二', '丨', '一', '艸', '口']"
哲,10,30.7,"wise, sagacious; wise man, sage",Both,"('折', '口')","['斤', '手', '口']"
喝,12,30.9,"drink; shout, call out",Both,"('口', '曷')","['勹', '人', '曰', '口']"
嚕,18,30.15,"verbose, talkative; mumbling",Traditional,"('口', '魯')","['日', '魚', '口']"
嘐,14,30.11,final exclamatory particle,Both,"('口', '翏')","['人', '羽', '彡', '口']"
咉,8,30.5,"an echo, a sound to vomit, as an infant",Both,"('口', '央')","['冂', '大', '口']"
嘓,14,30.11,"gurgling sound, chattering",Traditional,"('口', '國')","['一', '囗', '戈', '口']"
嗓,13,30.10,voice; throat,Both,"('口', '桑')","['又', '木', '口']"
咈,8,30.5,oppose,Both,"('口', '弗')","['弓', '口']"
咫,9,30.6,foot measure of Zhou dynasty,Both,"('尺', '只')","['尸', '八', '口']"
啁,11,30.8,"chirp, twitter, twittering",Both,"('口', '周')","['田', '口']"
哈,9,30.6,sound of laughter,Both,"('口', '合')","['一', '人', '口']"
嚶,20,30.17,seek friends; also used in names; the call of a bird,Traditional,"('口', '嬰')","['女', '貝', '口']"
嗎,13,30.10,final interrogative particle,Traditional,"('口', '馬')","['馬', '口']"
嚎,17,30.14,"cry loudly, yell, scream",Both,"('口', '豪')","['冖', '亠', '豕', '口']"
虽,9,142.3 30.6,"although, even if",Simplified,"('口', '虫')","['虫', '口']"
嗜,13,30.10,"be fond of, have weakness for",Both,"('口', '耆')","['日', '老', '口']"
哒,9,30.6,a sound made to get a horse to move forward,Simplified,"('口', '达')","['大', '口', '辵']"
哮,10,30.7,cough; pant; roar,Both,"('口', '孝')","['子', '老', '口']"
哓,9,30.6,garrulous; disturbed; restless,Simplified,"('口', '尧')","['一', '口', '儿']"
嗌,13,30.10,"the throat; to quarrel, choke",Both,"('口', '益')","['一', '皿', '八', '口']"
号,5,30.2,"mark, sign; symbol; number",Both,"('口', '丂')","['一', '口']"
嘔,14,30.11,"to vomit; annoy, enrage",Traditional,"('口', '區')","['匚', '口']"
呤,8,30.5,purine,Both,"('口', '令')","['人', '丶', '口']"
咵,9,30.6,to revile,Both,"('口', '夸')","['二', '大', '口']"
咧,9,30.6,"stretch mouth, grimace, grin",Both,"('口', '列')","['刀', '歹', '口']"
唚,10,30.7,vomiting of animals; to use bad language,Traditional,"('口', '𠬶')","['冖', '又', '彐', '口']"
呶,8,30.5,talkative; clamour; hubbub,Both,"('口', '奴')","['女', '又', '口']"
喞,12,30.9,chirping of insects; pump,Unknown,"('口', '卽')","['匕', '白', '口', '卩']"
吻,7,30.4,kiss; the lips; coinciding,Both,"('口', '勿')","['勹', '口']"
嘉,14,30.11,excellent; joyful; auspicious,Both,"('壴', '加')","['八', '士', '口', '一', '力']"
嗒,12,30.10,absent-minded,Both,"('口', '荅')","['一', '人', '艸', '口']"
咡,9,30.6,side of mouth,Both,"('口', '耳')","['耳', '口']"
嗆,13,30.10,choke by smoke; irritates nose,Traditional,"('口', '倉')","['人', '丶', '丨', '彐', '口']"
叧,5,30.2,to cut meat off away from bones; ancient torture,Unknown,"('口', '刀')","['刀', '口']"
唠,10,30.7,"chat, jaw, gossip, talk",Simplified,"('口', '劳')","['冖', '力', '艸', '口']"
呟,8,30.5,"to mutter, grumble, murmur",Both,"('口', '玄')","['玄', '口']"
嘂,14,30.11,"cry loudly, yell, scream",Both,"('吕', '丩')","['丨', '口']"
唽,11,30.8,to twitter,Both,"('口', '析')","['斤', '木', '口']"
喚,12,30.9,"call, summon; invite; be called",Traditional,"('口', '奐')","['八', '刀', '大', '口', '冂']"
哰,10,30.7,incoherent chatter,Both,"('口', '牢')","['宀', '牛', '口']"
吥,7,30.4,"a swelling; spongy, flabby",Both,"('口', '不')","['丿', '一', '卜', '口']"
吗,6,30.3,final interrogative particle,Simplified,"('口', '马')","['马', '口']"
噚,15,30.12,fathom,Traditional,"('口', '尋')","['寸', '彐', '口', '工']"
嚥,19,30.16,"swallow, gulp",Both,"('口', '燕')","['火', '匕', '廾', '口']"
句,5,30.2,sentence,Both,"('勹', '口')","['勹', '口']"
叹,5,30.2,"sigh, admire",Simplified,"('口', '又')","['又', '口']"
喆,12,30.9,a sage; wise; sagacious,Both,"('吉', None)",['吉']
囈,21,30.19,"talk in one's sleep, somniloquy",Traditional,"('口', '藝')","['丿', '土', '丶', '八', '二', '厶', '艸', '口']"
吾,7,30.4,"i, my, our; resist, impede",Both,"('五', '口')","['一', '口', '力']"
噇,15,30.12,eating and drinking without restraint,Both,"('口', '童')","['里', '立', '口']"
哕,9,30.6,belch; vomit,Simplified,"('口', '岁')","['山', '口', '夕']"
告,7,30.4,"tell, announce, inform; accuse",Both,"('牛', '口')","['牛', '口']"
命,8,30.5,"life; destiny, fate, luck; an order, instruction",Both,"('亼', '叩')","['一', '人', '口', '卩']"
嗳,13,30.10,interjection; exclamation,Simplified,"('口', '爱')","['丿', '又', '爪', '冖', '一', '口']"
呉,7,30.4,one of warring states; surname,Both,"('吳', None)","['一', '八', '口']"
咽,9,30.6,throat; pharynx,Both,"('口', '因')","['囗', '大', '口']"
叫,5,30.2,"cry, shout; hail, greet, call",Both,"('口', '丩')","['丨', '口']"
哗,9,30.6,rushing sound; gush forward,Simplified,"('口', '华')","['十', '匕', '人', '口']"
啯,11,30.8,"gurgling sound, chattering",Simplified,"('口', '国')","['囗', '玉', '口']"
哆,9,30.6,"tremble, shiver, shudder, quiver",Both,"('口', '多')","['口', '夕']"
喩,12,30.9,metaphor,Both,"('口', '兪')","['人', '川', '月', '一', '口']"
商,11,30.8,"commerce, business, trade",Both,"('六', '冏')","['亠', '八', '口', '冂']"
喰,12,30.9,"to eat, drink",Unknown,"('口', '食')","['食', '口']"
启,7,30.4 63.3,"open; begin, commence; explain",Simplified,"('户', '口')","['户', '口']"
味,8,30.5,"taste, smell, odor; delicacy",Both,"('口', '未')","['一', '木', '口']"
噥,16,30.13,whisper,Traditional,"('口', '農')","['二', '凵', '辰', '口']"
咔,8,30.5,used in translation,Both,"('口', '卡')","['一', '卜', '口']"
喬,12,30.9,"tall, lofty; proud, stately",Traditional,"('呑', '冋')","['冂', '大', '口']"
嗛,13,30.10,pouch; hold; content,Both,"('口', '兼')","['一', '八', '彐', '口']"
啇,11,30.8,to stalk; the stem; the foot; the base,Both,"('六', '冂古')","['子', '亠', '欠', '八']"
喱,12,30.9,gramme; syllable,Both,"('口', '厘')","['里', '厂', '口']"
啜,11,30.8,"sip, suck up; sob, weep",Both,"('口', '叕')","['又', '口']"
口,3,30.0,"mouth; open end; entrance, gate",Both,"('口', None)",['口']
啵,11,30.8,phonetic,Both,"('口', '波')","['皮', '水', '口']"
咝,8,30.5,hiss; call to come; syllable,Simplified,"('口', '丝')","['一', '口']"
囔,25,30.22,"muttering, indistinct speech",Both,"('口', '囊')","['二', '丨', '冖', '十', '一', '口']"
喷,12,30.9,"spurt, blow out, puff out",Simplified,"('口', '贲')","['十', '贝', '艸', '口']"
唱,11,30.8,"sing, chant, call; ditty, song",Both,"('口', '昌')","['日', '口']"
喉,12,30.9,"throat, gullet, larynx; guttural",Both,"('口', '侯')","['人', '口', '矢']"
嚅,17,30.14,talk indistinctly and falteringly,Both,"('口', '需')","['而', '口', '雨']"
嚃,16,30.14,gobble,Both,"('口', '遝')","['网', '口', '辵']"
啮,11,30.8,"bite, gnaw",Simplified,"('口', '齿')","['齿', '口']"
叨,5,30.2,talkative; quarrelous,Both,"('口', '刀')","['刀', '口']"
嘒,14,30.11,sharp,Both,"('口', '彗')","['彐', '口']"
噦,16,30.13,belch; vomit,Traditional,"('口', '歲')","['止', '丿', '厂', '戈', '小', '一', '口']"
呸,8,30.5,expression of reprimand,Both,"('口', '丕')","['丿', '一', '卜', '口']"
嚐,17,30.14,taste,Traditional,"('口', '嘗')","['匕', '冖', '小', '日', '口']"
嗩,13,30.10,flute-like musical instrument,Traditional,"('口', '𧴪')","['小', '貝', '口']"
台,5,30.2,platform; unit; term of address,Both,"('厶', '口')","['厶', '口']"
嚵,20,30.17,gluttonous; greedy,Both,"('口', '毚')","['丶', '乙', '刀', '丨', '比', '口']"
咐,8,30.5,"instruct, order",Both,"('口', '付')","['人', '寸', '口']"
囃,21,30.18,"to play (on an instrument); to accompany; to banter, jeer",Traditional,"('口', '雜')","['人', '隹', '木', '亠', '口']"
嗊,13,30.10,used in place and other names,Traditional,"('口', '貢')","['貝', '口', '工']"
咷,9,30.6,"howl, cry loudly",Both,"('口', '兆')","['冫', '口', '儿']"
呦,8,30.5,the bleating of the deer,Both,"('口', '幼')","['幺', '力', '口']"
噺,16,30.13,"story, talk",Unknown,"('口', '新')","['十', '小', '斤', '立', '口']"
吐,6,30.3,"vomit, spew out, cough up",Both,"('口', '土')","['土', '口']"
唑,10,30.7,(chem.) azole,Both,"('口', '坐')","['土', '人', '口']"
呒,7,30.4,unclear; an expletive,Simplified,"('口', '无')","['无', '口']"
呕,7,30.4,"vomit; annoy, enrage",Simplified,"('口', '区')","['丿', '匚', '口']"
哄,9,30.6,"coax; beguile, cheat, deceive",Simplified,"('口', '共')","['一', '八', '艸', '口']"
咴,9,30.6,"neigh, whinny",Both,"('口', '灰')","['丿', '火', '一', '口']"
呌,7,30.4,to call; to summon,Both,"('口', '斗')","['斗', '口']"
吵,7,30.4,"argue, dispute; disturb, annoy",Both,"('口', '少')","['丿', '小', '口']"
喙,12,30.9,"beak, bill, snout; pant",Both,"('口', '彖')","['勹', '彐', '口']"
呎,7,30.4,foot,Both,"('口', '尺')","['尸', '口']"
哶,10,30.7,bleat,Both,"('口', '芈')","['干', '卜', '口']"
咀,8,30.5,"suck; chew, masticate",Both,"('口', '且')","['月', '一', '口']"
嗯,13,30.10,final particle,Both,"('口', '恩')","['心', '囗', '大', '口']"
司,5,30.2,"take charge of, control, manage; officer",Both,"('𠃌', '𠮛')","['一', '口']"
卟,5,25.3 30.2,a chemical compound; divination; to consider,Both,"('口', '卜')","['卜', '口']"
哽,10,30.7,choke (with grief),Both,"('口', '更')","['丿', '丨', '日', '一', '口']"
咯,9,30.6,final particle,Both,"('口', '各')","['夂', '口']"
嗔,13,30.10,"be angry at, scold, rebuke",Both,"('口', '眞')","['八', '十', '目', '一', '口']"
嗽,14,30.11,"cough, gargle, clear throat",Both,"('口', '欶')","['欠', '木', '口']"
囊,22,30.19 145.17,"bag, purse, sack; put in bag",Both,"('囊', None)","['二', '丨', '冖', '十', '一', '口']"
営,11,30.9 42.9,"encampment, barracks; manage",Unknown,"('小', '呂')","['冖', '口', '小']"
唎,10,30.7,"sound, noise; final particle",Both,"('口', '利')","['禾', '刀', '口']"
啉,11,30.8,stupid; slow,Both,"('口', '林')","['木', '口']"
噑,14,30.11,"the roar of beasts; to howl, wail",Both,"('口', '皐')","['十', '白', '口', '冫']"
唾,11,30.8 30.9,"spit, spit on; saliva",Both,"('口', '垂')","['十', '艸', '口', '士']"
噶,15,30.13,used in transliterations,Both,"('口', '葛')","['人', '勹', '曰', '艸', '口']"
嗙,13,30.10,boast,Both,"('口', '旁')","['八', '冖', '亠', '方', '口']"
吉,6,30.3,"lucky, propitious, good",Both,"('士', '口')","['口', '士']"
啟,11,66.7 30.8,open; begin,Traditional,"('启', '攵')","['户', '攴', '口']"
嗄,13,30.10,hoarse of voice,Both,"('口', '夏')","['一', '夂', '自', '口']"
唪,11,30.8,"to recite, to intone or chant",Both,"('口', '奉')","['二', '八', '丨', '一', '口']"
呇,7,30.4,star,Both,"('水', '口')","['水', '口']"
呼,8,30.5,"breathe sigh, exhale; call, shout",Both,"('口', '乎')","['一', '丿', '八', '口']"
合,6,30.3,"combine, unite, join; gather",Both,"('亼', '口')","['一', '人', '口']"
吲,7,30.4,smile at; sneer at,Both,"('口', '引')","['丨', '弓', '口']"
嘨,14,30.12,"roar, howl, scream; whistle",Unknown,"('口', '粛')","['人', '木', '糸', '聿', '口']"
吢,7,30.4,vomiting of a dog,Unknown,"('心', '口')","['心', '口']"
噤,16,30.13,"close; be silent, be unable speak",Both,"('口', '禁')","['木', '口', '示']"
吏,6,30.3,"government official, magistrate",Both,"('丈', '口')","['丿', '十', '丨', '口']"
嗵,13,30.10,used for sound,Both,"('口', '通')","['用', '口', '辵']"
嗿,14,30.11,gobble,Traditional,"('口', '貪')","['貝', '人', '丶', '口']"
呭,8,30.5,final particle expressing consent; talkative,Both,"('口', '世')","['廾', '口']"
啢,11,30.8,ounce,Traditional,"('口', '兩')","['一', '入', '口', '巾']"
嗡,13,30.10,"sound of flying bees, airplanes",Both,"('口', '翁')","['厶', '羽', '八', '口']"
啑,11,30.8,to gobble,Both,"('口', '疌')","['十', '聿', '口', '止']"
噢,15,30.13,"moan; interjection for pain, sad",Both,"('口', '奧')","['宀', '大', '米', '口']"
哤,10,30.7,jargon,Both,"('口', '尨')","['丿', '丶', '乙', '彡', '一', '口']"
囓,24,30.21,gnaw,Both,"('口', '齧')","['二', '齒', '刀', '丨', '一', '口']"
唆,10,30.7,"make mischief, incite, instigate",Both,"('口', '夋')","['厶', '夂', '八', '口']"
喻,12,30.9,"metaphor, analogy; example; like",Both,"('口', '俞')","['人', '刀', '月', '一', '口']"
嘆,14,30.11,"sigh, admire",Traditional,"('口', '𦰩')","['二', '人', '丨', '廾', '口']"
噜,15,30.12,"verbose, talkative; mumbling",Simplified,"('口', '鲁')","['鱼', '日', '口']"
噯,16,30.13,interjection; exclamation,Traditional,"('口', '愛')","['心', '夂', '爪', '冖', '口']"
喹,12,30.9,quinoxaline (chemical compound),Both,"('口', '奎')","['土', '大', '口']"
嚀,17,30.14,"enjoin, instruct; charge",Traditional,"('口', '寧')","['心', '亅', '皿', '宀', '一', '口']"
啎,11,30.8,"obstinate, disobedient, intractable",Both,"('午', '吾')","['一', '干', '口', '力']"
嗢,12,30.10,"a loud, prolonged laugh",Both,"('口', '𥁕')","['日', '皿', '口']"
嚙,18,30.15,"bite, gnaw",Traditional,"('口', '齒')","['齒', '口']"
啾,12,30.9,wailing of child; chirp,Both,"('口', '秋')","['禾', '火', '口']"
呷,8,30.5,"suck, swallow, drink",Both,"('口', '甲')","['冂', '二', '丨', '口']"
啪,11,30.8,syllable,Both,"('口', '拍')","['白', '手', '口']"
嘛,14,30.11,final exclamatory particle,Both,"('口', '麻')","['麻', '口']"
喔,12,30.9,descriptive of crying or of crowing,Both,"('口', '屋')","['尸', '至', '口']"
嚲,20,30.17,"read aloud, recite, chant; droop",Traditional,"('享', '單')","['子', '二', '丨', '十', '亠', '口', '冂']"
唢,10,30.7,flute-like musical instrument,Simplified,"('口', '?贝')","['小', '贝', '口']"
嗟,12,30.10,"sigh, alas",Both,"('口', '差')","['羊', '口', '工']"
嚴,19,30.17,"strict, rigorous, rigid; stern",Traditional,"('口', '𠪚')","['口', '攴', '厂', '耳']"
吿,7,30.4,"tell, announce, inform; accuse",Both,"('牛', '口')","['牛', '口']"
嘖,14,30.11,interjection of approval or admiration,Traditional,"('口', '責')","['土', '貝', '一', '口']"
囒,23,30.21,confused talk,Traditional,"('口', '蘭')","['八', '丨', '木', '口', '艸', '門']"
咻,9,30.6,shout,Both,"('口', '休')","['人', '木', '口']"
囑,24,30.21,"order, tell, instruct, leave word",Traditional,"('口', '屬')","['虫', '水', '尸', '勹', '网', '口']"
呑,7,30.4,swallow; absorb,Both,"('夭', '口')","['大', '口']"
嗉,13,30.10,bird's crop; wine pot,Both,"('口', '素')","['一', '土', '糸', '口']"
嘯,16,30.12,"roar, howl, scream; whistle",Traditional,"('口', '肅')","['一', '聿', '口']"
噬,16,30.13,bite; gnaw; snap at,Both,"('口', '筮')","['竹', '人', '口', '工']"
啶,11,30.8,phonetic used in pyridine and pyrimidine,Both,"('口', '定')","['宀', '一', '口', '止']"
噭,16,30.13,shout,Both,"('口', '敫')","['方', '白', '口', '攴']"
噕,15,87.11 30.12,to speak falsely or wrongly; ugly,Unknown,"('爲', '口')","['丿', '火', '口', '爪']"
响,9,30.6,"make sound, make noise; sound",Both,"('口', '向')","['宀', '口']"
吃,6,30.3,"eat; drink; suffer, endure, bear",Both,"('口', '乞')","['一', '丿', '口', '乙']"
向,6,30.3,"toward, direction, trend",Both,"('丶', '冋')","['宀', '口']"
叺,5,30.2,a straw bag; a tobacco pouch,Both,"('口', '入')","['入', '口']"
咎,8,30.5,"fault, defect; error, mistake",Both,"('处', '口')","['口', '卜', '夂']"
噍,15,30.12,chew; eat; munch,Both,"('口', '焦')","['火', '隹', '口']"
嘀,14,30.11,backbite,Both,"('口', '啇')","['子', '八', '亠', '欠', '口']"
喒,12,30.9,"a dual pronoun, I, you and me, we two",Both,"('口', '昝')","['日', '夂', '卜', '口']"
喸,12,30.9,place name,Both,"('甫', '叱')","['丶', '乙', '用', '十', '一', '口']"
嘮,15,30.12,"chat, jaw, gossip, talk",Traditional,"('口', '勞')","['冖', '火', '力', '口']"
唣,10,30.7,chatter,Both,"('口', '皂')","['一', '白', '口', '乙']"
噷,16,30.13,an exclamation,Both,"('口', '歆')","['欠', '音', '口']"
呲,9,30.5,give a talking-to,Both,"('口', '此')","['止', '匕', '口']"
噻,16,30.13,character used in translation,Both,"('口', '塞')","['二', '土', '八', '宀', '一', '口']"
叾,5,30.2,"西貢叾, a place in Hong Kong",Both,"('了', '口')","['口', '亅']"
否,7,30.4,"not, no, negative; final particle; hexagram ䷋",Both,"('不', '口')","['丿', '一', '卜', '口']"
嚼,20,30.18,"prattle, be glib",Both,"('口', '爵')","['丶', '爪', '乙', '丨', '寸', '彐', '网', '口']"
嘵,15,30.12,garrulous; disturbed; restless,Traditional,"('口', '堯')","['土', '一', '口', '儿']"
噛,15,30.12,"bite, gnaw",Unknown,"('口', '歯')","['⻭', '口']"
叽,5,30.2,sigh in disapproval; take small,Simplified,"('口', '几')","['几', '口']"
哥,10,30.7,elder brother,Both,"('可', None)","['一', '口', '亅']"
唖,10,30.7,"dumb, mute; become hoarse",Unknown,"('口', '亜')","['二', '口']"
喌,12,30.9,syllable,Both,"('口', '州')","['川', '口', '丶']"
囌,22,30.20,loquacious; nag,Traditional,"('口', '蘇')","['禾', '艸', '魚', '口']"
啡,11,30.8,morphine; coffee,Both,"('口', '非')","['非', '口']"
啭,11,30.8,"sing, chirp, warble, twitter",Simplified,"('口', '转')","['二', '车', '丨', '口']"
囂,21,30.18,be noisy; treat with contempt,Traditional,"('吕', '頁')","['頁', '口']"
哺,10,30.7,chew food; feed,Both,"('口', '甫')","['十', '丶', '用', '口']"
噓,15,30.11,"exhale; blow out; deep sigh; hiss; praise, flatter; lie",Traditional,"('口', '虛')","['丨', '㇙', '虍', '一', '口']"
唐,10,30.7,Tang dynasty; Chinese,Both,"('广肀', '口')","['广', '聿', '口']"
啈,11,30.8,"to speak harshly, command sharply",Both,"('口', '幸')","['干', '土', '八', '口']"
呂,7,30.4,surname; a musical note,Traditional,"('口', '丶口')","['囗', '丶', '口']"
喽,12,30.9,used in onomatopoetic expressions,Both,"('口', '娄')","['女', '米', '口']"
唕,10,30.7,chatter,Unknown,"('口', '皁')","['十', '白', '口']"
唶,11,30.8,"sigh, groan; loud laughter",Both,"('口', '昔')","['日', '一', '艸', '口']"
唬,11,30.8,to intimidate; to scare,Both,"('口', '虎')","['虍', '几', '口']"
吩,7,30.4,"order, command, instruct",Both,"('口', '分')","['刀', '八', '口']"
嚏,17,30.14,sneeze,Both,"('口', '疐')","['冖', '十', '疋', '田', '口']"
唰,11,30.8,"swish, rustle",Both,"('口', '刷')","['刀', '尸', '口', '巾']"
吪,7,30.4,move,Both,"('口', '化')","['人', '匕', '口']"
君,7,30.4,"sovereign, monarch, ruler, chief, prince",Both,"('尹', '口')","['丨', '彐', '口']"
唉,10,30.7,"alas, exclamation of surprise or pain",Both,"('口', '矣')","['厶', '口', '矢']"
囍,21,30.18,double happiness,Both,"('喜', None)","['一', '八', '口', '士']"
啤,11,30.8,beer,Both,"('口', '卑')","['二', '丶', '丨', '十', '口', '冂']"
喲,12,30.9,"ah, final particle",Traditional,"('口', '約')","['勹', '丶', '糸', '口']"
啷,11,30.8,a clanging or rattling sound,Both,"('口', '郎')","['丶', '乙', '丨', '彐', '阝', '口']"
呗,7,30.4,final particle of assertion,Simplified,"('口', '贝')","['贝', '口']"
噩,16,30.13,"bad, ill-omened, unlucky",Both,"('王', '㗊')","['玉', '口']"
呠,8,30.5,to spurt; to blow out; to puff out; to snort,Both,"('口', '本')","['一', '木', '口']"
哫,10,30.7,to cajole,Both,"('口', '足')","['足', '口']"
嘁,14,30.11,to be grieved; ashamed; used to imitate sounds,Both,"('口', '戚')","['卜', '厂', '戈', '小', '一', '口']"
啌,11,30.8,animal disease,Both,"('口', '空')","['穴', '口', '工']"
喃,12,30.9,"keep talking, chattering; mumble",Both,"('口', '南')","['八', '干', '十', '口', '冂']"
喘,12,30.9,"pant, gasp, breathe heavily",Both,"('口', '耑')","['而', '山', '口']"
嘏,14,30.11,"felicity, prosperity; large and strong",Both,"('古', '叚')","['二', '又', '十', '尸', '口']"
哎,8,30.6,interjection of surprise,Both,"('口', '艾')","['丿', '艸', '口']"
嗤,13,30.10,"laugh at, ridicule, sneer; snort",Both,"('口', '蚩')","['一', '虫', '屮', '口']"
哑,9,30.6,"dumb, mute; become hoarse",Simplified,"('口', '亚')","['一', '八', '口']"
唁,10,30.7,express condolence,Both,"('口', '言')","['口', '言']"
嚻,21,30.18,be noisy; treat with contempt,Both,"('吕', '頁')","['頁', '口']"
呻,8,30.5,"groan, moan; recite with intonation",Both,"('口', '申')","['日', '丨', '口']"
唵,11,30.8,used in Buddhist texts to transliterate non-Chinese sounds; to eat with the hand,Both,"('口', '奄')","['乙', '丨', '大', '日', '口']"
