char,total_strokes,radical,meaning,category,components,all_radicals
篦,16,118.10,fine-toothed comb; comb hair,Both,"('竹', '𣬉')","['竹', '囗', '丶', '丿']"
笄,10,118.6,a hairpin; fifteen-year-old girl,Both,"('竹', '开')","['竹', '一', '廾']"
籃,20,118.14,basket,Traditional,"('竹', '監')","['丿', '丶', '竹', '臣', '皿', '一']"
算,14,118.8,"count, calculate, figure; plan",Both,"('竹', '𥃲')","['竹', '目', '艸']"
筑,12,118.6,ancient lute; build,Both,"('竹', '巩')","['竹', '几', '丶', '工']"
筈,12,118.6,arrow end,Both,"('竹', '舌')","['竹', '舌']"
簽,19,118.13,"sign, endorse; slip of paper",Traditional,"('竹', '僉')","['一', '人', '竹']"
筼,13,118.7,tall bamboo,Simplified,"('竹', '员')","['竹', '贝', '口']"
筝,12,118.6,stringed musical instrument; kite,Simplified,"('竹', '争')","['竹', '刀', '彐', '亅']"
篥,16,118.10,bugle; Tatar horn,Both,"('竹', '栗')","['竹', '襾', '木']"
箅,14,118.8,grate; grid; grating,Both,"('竹', '畀')","['竹', '一', '田']"
筸,13,118.7,name of a place in Honan,Both,"('竹', '旱')","['日', '干', '竹']"
笰,11,118.5,curtain,Both,"('竹', '弗')","['竹', '弓']"
篴,16,118.11,bamboo flute; whistle,Both,"('竹', '逐')","['竹', '豕', '辵']"
篳,16,118.11,"wicker, bamboo",Traditional,"('竹', '畢')","['二', '竹', '丨', '田', '一', '艸']"
節,13,118.7,"knot, node, joint; section; hexagram ䷻",Traditional,"('竹', '即')","['丶', '竹', '丨', '彐', '卩', '乙']"
