char,decomposition
沴,"['人', '水', '彡']"
漚,"['匚', '水', '口']"
沪,"['户', '水']"
瀌,"['鹿', '火', '水']"
潸,"['月', '木', '水']"
潖,"['王', '丨', '水', '乙']"
洳,"['女', '水', '口']"
澍,"['十', '水', '豆', '寸']"
洨,"['丿', '亠', '八', '水']"
洟,"['大', '水', '弓']"
滗,"['竹', '毛', '水']"
汹,"['丿', '凵', '水']"
沥,"['水', '厂', '力']"
渓,"['人', '水', '二', '爪']"
渧,"['八', '水', '巾', '冖', '亠']"
溱,"['二', '八', '水', '丨', '禾', '一']"
涛,"['二', '水', '丨', '寸', '一']"
潵,"['水', '月', '一', '艸', '攴']"
滄,"['人', '丶', '水', '丨', '彐', '口']"
潠,"['一', '艸', '八', '水']"
滑,"['骨', '水']"
汽,"['气', '水']"
滢,"['冖', '玉', '艸', '水']"
浤,"['丿', '水', '厶', '宀', '一']"
洴,"['一', '八', '廾', '水']"
浚,"['厶', '八', '水', '夂']"
泌,"['心', '丿', '水']"
浃,"['人', '八', '水', '二']"
澰,"['一', '人', '水']"
涶,"['十', '艸', '水', '士']"
沮,"['月', '一', '水']"
溆,"['人', '又', '水', '干', '小']"
沓,"['日', '水']"
濃,"['二', '凵', '辰', '水']"
氾,"['水', '乙']"
瀺,"['丶', '水', '乙', '刀', '丨', '比', '口']"
溝,"['二', '土', '水', '一', '冂']"
泝,"['斤', '丶', '水']"
漏,"['尸', '水', '雨']"
滔,"['臼', '水', '爪']"
瀁,"['丶', '八', '水', '羊', '艮']"
泳,"['丶', '水']"
渉,"['丿', '止', '水', '小']"
測,"['貝', '刀', '水']"
淶,"['人', '木', '水']"
瀦,"['日', '豕', '水', '老']"
污,"['二', '水']"
洫,"['血', '水']"
溓,"['一', '八', '水', '彐']"
滪,"['乙', '水', '亅', '页']"
漣,"['車', '水', '辵']"
浯,"['一', '口', '水', '力']"
涌,"['水', '用']"
湧,"['水', '用', '力']"
浛,"['人', '丶', '水', '口']"
湣,"['日', '一', '己', '水']"
淞,"['厶', '水', '木', '八']"
浇,"['一', '水', '儿']"
