char,decomposition
箋,"['竹', '戈']"
竿,"['竹', '干']"
笈,"['竹', '丿']"
籙,"['竹', '金', '水', '彐']"
籝,"['女', '丶', '竹', '匸', '月', '几', '口']"
笠,"['竹', '立']"
筮,"['竹', '人', '工']"
籥,"['竹', '龠']"
箙,"['月', '又', '竹', '卩']"
筈,"['竹', '舌']"
籖,"['竹', '土', '戈', '韭']"
簧,"['二', '凵', '八', '竹', '丨', '一', '艸']"
篌,"['竹', '人', '矢']"
筝,"['竹', '刀', '彐', '亅']"
籀,"['竹', '田', '手', '卩']"
笄,"['竹', '一', '廾']"
笲,"['竹', '厶', '廾']"
簍,"['女', '十', '竹', '口']"
筑,"['竹', '几', '丶', '工']"
籘,"['二', '八', '竹', '丨', '糸', '月']"
箝,"['竹', '甘', '手']"
籑,"['丶', '竹', '大', '艮', '目']"
箑,"['竹', '十', '聿', '止']"
笋,"['竹', '丨', '彐']"
簇,"['丿', '竹', '方', '矢', '一']"
簞,"['二', '竹', '丨', '十', '口', '冂']"
簹,"['竹', '冖', '田', '小', '口']"
評,"['干', '八', '言']"
诃,"['一', '口', '讠', '亅']"
诲,"['一', '丿', '讠', '毋']"
誠,"['丿', '一', '戈', '言']"
謌,"['一', '口', '亅', '言']"
讇,"['臼', '刀', '門', '言']"
訇,"['勹', '言']"
詧,"['月', '言', '卩']"
诀,"['人', '丨', '讠']"
讻,"['丿', '凵', '讠']"
読,"['冖', '儿', '士', '言']"
讧,"['讠', '工']"
譐,"['寸', '八', '酉', '言']"
识,"['讠', '八', '口']"
訬,"['丿', '小', '言']"
谞,"['月', '疋', '讠']"
謷,"['丿', '土', '言', '一', '攴']"
諭,"['人', '刀', '言', '月', '一']"
誕,"['止', '廴', '言']"
讚,"['貝', '言', '牛', '儿']"
諦,"['八', '巾', '冖', '亠', '言']"
訄,"['丿', '言']"
讎,"['隹', '言']"
詖,"['皮', '言']"
诇,"['口', '讠', '冂']"
訩,"['丿', '凵', '言']"
諌,"['日', '木', '言']"
谤,"['八', '冖', '亠', '讠', '方']"
讣,"['讠', '卜']"
誓,"['斤', '手', '言']"
譯,"['土', '八', '干', '言', '网']"
諰,"['心', '田', '言']"
谜,"['讠', '米', '辵']"
謋,"['舛', '木', '言']"
谑,"['虍', '讠']"
认,"['人', '讠']"
诮,"['月', '讠', '小']"
謱,"['女', '十', '口', '言']"
谎,"['丶', '丨', '匸', '讠', '儿', '艸']"
訪,"['方', '言']"
謆,"['羽', '户', '言']"
謿,"['日', '十', '月', '言']"
詾,"['勹', '凵', '丿', '言']"
譭,"['臼', '殳', '工', '言']"
诏,"['刀', '讠', '口']"
誒,"['厶', '矢', '言']"
誥,"['牛', '口', '言']"
課,"['田', '木', '言']"
譼,"['丿', '丶', '臣', '言', '一', '网']"
诿,"['禾', '讠', '女']"
谰,"['门', '八', '丨', '木', '讠', '口']"
譅,"['止', '刀', '丶', '言']"
讷,"['人', '讠', '冂']"
訳,"['尸', '言']"
訓,"['川', '言']"
誹,"['非', '言']"
谭,"['日', '十', '讠', '襾']"
譌,"['丿', '火', '爪', '言']"
谕,"['人', '刀', '讠', '月', '一']"
谖,"['干', '又', '讠', '爪']"
謚,"['一', '八', '皿', '言']"
詳,"['羊', '言']"
誣,"['人', '工', '言']"
讍,"['玉', '口', '言']"
诘,"['讠', '口', '士']"
許,"['干', '言']"
詨,"['丿', '亠', '八', '言']"
諬,"['禾', '丶', '尢', '言']"
谵,"['八', '刀', '厂', '讠', '言']"
詵,"['牛', '儿', '言']"
询,"['勹', '讠', '日']"
謫,"['子', '八', '亠', '言', '欠']"
譙,"['火', '隹', '言']"
訽,"['勹', '口', '言']"
詘,"['山', '言']"
訦,"['巾', '乙', '言']"
譫,"['刀', '八', '厂', '言']"
訴,"['斤', '丶', '言']"
谁,"['隹', '讠']"
謾,"['日', '网', '又', '言']"
誨,"['一', '丿', '毋', '言']"
誌,"['心', '士', '言']"
谠,"['冖', '讠', '小', '儿', '口']"
课,"['讠', '木', '田']"
詸,"['米', '言']"
諡,"['一', '八', '皿', '言']"
謙,"['一', '八', '彐', '言']"
譈,"['子', '亠', '口', '言', '攴']"
谏,"['八', '丨', '木', '讠', '口']"
训,"['川', '讠']"
譏,"['幺', '人', '戈', '言']"
许,"['干', '讠']"
论,"['人', '匕', '讠']"
谩,"['日', '网', '又', '讠']"
計,"['十', '言']"
諧,"['比', '白', '言']"
谗,"['丶', '乙', '刀', '丨', '讠', '口']"
譴,"['丨', '言', '一', '己', '口', '辵']"
諤,"['二', '口', '言']"
諚,"['宀', '一', '止', '言']"
谪,"['子', '八', '亠', '讠', '欠']"
谆,"['子', '亠', '讠', '口']"
譬,"['尸', '辛', '口', '言']"
註,"['丶', '玉', '言']"
諞,"['户', '艸', '冂', '言']"
諱,"['韋', '言']"
訾,"['止', '匕', '言']"
谛,"['八', '巾', '冖', '亠', '讠']"
討,"['寸', '言']"
訛,"['人', '匕', '言']"
讱,"['刀', '讠', '丶']"
譹,"['豕', '冖', '亠', '言', '口']"
詒,"['厶', '口', '言']"
謨,"['日', '大', '艸', '言']"
諼,"['又', '爪', '干', '言', '亅']"
謅,"['勹', '艸', '言']"
變,"['糸', '攴', '言']"
詡,"['羽', '言']"
詹,"['刀', '八', '厂', '言']"
諓,"['戈', '言']"
讋,"['龍', '言']"
诒,"['厶', '讠', '口']"
謦,"['丨', '言', '殳', '士']"
諒,"['小', '亠', '口', '言']"
详,"['羊', '讠']"
詗,"['口', '冂', '言']"
请,"['讠', '青']"
詰,"['士', '口', '言']"
請,"['青', '言']"
謁,"['勹', '人', '曰', '言']"
謳,"['匚', '口', '言']"
譸,"['士', '乙', '寸', '言', '工', '一', '口']"
諏,"['又', '耳', '言']"
讐,"['隹', '言']"
詎,"['匚', '言']"
諄,"['子', '亠', '口', '言']"
諮,"['冫', '欠', '口', '言']"
話,"['舌', '言']"
诶,"['厶', '讠', '矢']"
谳,"['八', '干', '犬', '十', '讠', '冂']"
诈,"['丿', '二', '丨', '讠', '一']"
諁,"['又', '言']"
詞,"['一', '口', '言']"
诤,"['刀', '讠', '彐', '亅']"
誆,"['匚', '玉', '言']"
訑,"['丨', '乙', '言']"
说,"['讠', '八', '口', '儿']"
评,"['干', '讠', '八']"
讅,"['宀', '田', '釆', '言']"
访,"['讠', '方']"
論,"['人', '言', '一', '艸', '冂']"
讬,"['一', '讠', '乙']"
諸,"['日', '老', '言']"
讁,"['子', '八', '亠', '言', '欠', '辵']"
詩,"['土', '寸', '言']"
訊,"['十', '乙', '言']"
讼,"['厶', '讠', '八']"
诡,"['刀', '讠', '厂', '乙']"
诔,"['耒', '讠']"
讦,"['干', '讠']"
調,"['田', '口', '言']"
訟,"['厶', '八', '言']"
証,"['一', '止', '言']"
讥,"['几', '讠']"
誂,"['冫', '儿', '言']"
诐,"['皮', '讠']"
證,"['癶', '豆', '言']"
誤,"['一', '大', '口', '言']"
諫,"['八', '丨', '木', '言', '口']"
詅,"['人', '丶', '言']"
诱,"['禾', '丿', '讠']"
谦,"['一', '讠', '八', '彐']"
譾,"['八', '羽', '刀', '言', '月', '一']"
訠,"['丨', '弓', '言']"
訏,"['干', '亅', '言']"
誐,"['戈', '手', '言']"
诗,"['土', '讠', '寸']"
詻,"['口', '夂', '言']"
谀,"['臼', '人', '讠']"
诳,"['玉', '讠', '犬']"
謝,"['身', '寸', '言']"
詤,"['人', '儿', '丨', '言']"
訖,"['一', '丿', '乙', '言']"
謼,"['丿', '八', '言', '虍', '一']"
该,"['人', '亠', '丨', '讠']"
詠,"['丶', '言']"
订,"['一', '讠', '亅']"
讆,"['言', '韋', '行']"
警,"['口', '言', '勹', '艸', '攴']"
谧,"['心', '丿', '讠', '皿']"
諗,"['心', '人', '丶', '言']"
诵,"['讠', '用']"
詔,"['刀', '口', '言']"
認,"['心', '刀', '丶', '言']"
谲,"['八', '冂', '讠', '矛', '口']"
詬,"['一', '口', '⺁', '言']"
讨,"['讠', '寸']"
誩,['言']
謔,"['虍', '言']"
谉,"['宀', '丨', '讠', '日']"
訧,"['丶', '尢', '言']"
詟,"['龙', '言']"
諑,"['勹', '一', '丶', '言']"
谱,"['日', '一', '讠', '八']"
講,"['二', '土', '言', '一', '冂']"
訝,"['牙', '言']"
諾,"['丿', '言', '一', '艸', '口']"
谡,"['夂', '讠', '八', '田']"
訥,"['人', '冂', '言']"
謏,"['臼', '丨', '又', '言']"
誊,"['二', '丨', '八', '言']"
謖,"['田', '八', '夂', '言']"
詁,"['十', '口', '言']"
讲,"['二', '讠']"
讒,"['丶', '乙', '刀', '丨', '言', '比', '口']"
谥,"['一', '讠', '八', '皿']"
谚,"['彡', '讠', '立', '厂']"
謪,"['八', '冂', '亠', '言', '口']"
諶,"['匚', '甘', '儿', '言']"
谍,"['廾', '讠', '木']"
訃,"['卜', '言']"
誼,"['宀', '一', '月', '言']"
訐,"['干', '言']"
語,"['一', '口', '力', '言']"
謊,"['丶', '匸', '丨', '言', '儿', '艸']"
谬,"['人', '羽', '讠', '彡']"
译,"['二', '丨', '又', '讠']"
谢,"['身', '讠', '寸']"
谈,"['火', '讠']"
诹,"['又', '讠', '耳']"
談,"['火', '言']"
誖,"['冖', '十', '子', '言']"
谝,"['户', '讠', '艸', '冂']"
訌,"['工', '言']"
譲,"['二', '八', '亠', '言', '一']"
误,"['一', '大', '讠', '口']"
讙,"['隹', '艸', '口', '言']"
讓,"['二', '衣', '言', '一', '口']"
訢,"['斤', '言']"
誦,"['用', '言']"
谣,"['缶', '讠', '爪']"
诉,"['斤', '丶', '讠']"
詆,"['丶', '氏', '言']"
谋,"['甘', '讠', '木']"
諛,"['臼', '人', '言']"
议,"['丿', '丶', '讠']"
设,"['讠', '殳']"
谊,"['宀', '一', '讠', '月']"
諠,"['宀', '一', '日', '言']"
訹,"['丶', '木', '言']"
讖,"['人', '戈', '韭', '言']"
诪,"['二', '丨', '寸', '讠', '一']"
词,"['一', '讠', '口']"
諵,"['八', '干', '十', '言', '冂']"
诙,"['丿', '火', '讠', '一']"
语,"['一', '口', '讠', '力']"
試,"['弋', '工', '言']"
詐,"['丿', '二', '丨', '言', '一']"
讹,"['人', '匕', '讠']"
詿,"['土', '言']"
诠,"['人', '玉', '讠']"
謭,"['八', '刀', '言', '月', '一']"
诨,"['冖', '车', '讠']"
諐,"['人', '丨', '儿', '言', '口']"
諟,"['日', '一', '止', '言']"
謬,"['人', '羽', '彡', '言']"
訶,"['一', '口', '亅', '言']"
諢,"['冖', '車', '言']"
讌,"['火', '匕', '廾', '言', '口']"
谶,"['人', '戈', '讠', '韭']"
諕,"['虍', '几', '言']"
謗,"['八', '冖', '亠', '方', '言']"
讛,"['丿', '土', '丶', '八', '二', '厶', '言', '艸']"
譁,"['二', '丨', '言', '一', '艸']"
謇,"['二', '八', '言', '宀', '一']"
诎,"['讠', '山']"
諂,"['臼', '刀', '言']"
话,"['讠', '舌']"
譊,"['土', '一', '儿', '言']"
詼,"['丿', '火', '一', '言']"
謑,"['幺', '大', '爪', '言']"
諴,"['厂', '戈', '言', '一', '口']"
诞,"['止', '廴', '讠']"
诜,"['牛', '讠', '儿']"
谂,"['心', '人', '丶', '讠']"
詈,"['网', '言']"
讃,"['貝', '人', '二', '言']"
誄,"['耒', '言']"
谨,"['丨', '廾', '讠', '玉', '口']"
诛,"['一', '讠', '木']"
谙,"['讠', '音']"
譽,"['八', '丨', '言', '臼', '一']"
譆,"['八', '士', '言', '一', '口']"
詉,"['女', '又', '言']"
调,"['口', '讠', '田']"
诟,"['一', '口', '讠', '⺁']"
诚,"['丿', '一', '戈', '讠']"
謄,"['二', '八', '丨', '言', '月']"
該,"['人', '亠', '丨', '言']"
誰,"['隹', '言']"
謠,"['月', '缶', '言']"
谔,"['二', '讠', '口']"
诂,"['十', '讠', '口']"
谇,"['十', '亠', '讠', '人']"
詪,"['艮', '言']"
让,"['一', '讠', '卜']"
诸,"['日', '讠', '老']"
詫,"['宀', '一', '乙', '言']"
訣,"['人', '丨', '言']"
读,"['丶', '大', '十', '讠', '乙']"
諆,"['一', '甘', '八', '言']"
診,"['人', '彡', '言']"
诓,"['匚', '玉', '讠']"
誶,"['十', '亠', '人', '言']"
诅,"['月', '一', '讠']"
誃,"['夕', '言']"
譟,"['木', '口', '言']"
诬,"['人', '讠', '工']"
詣,"['日', '匕', '言']"
诫,"['戈', '讠', '艸']"
諷,"['風', '言']"
謹,"['丨', '廾', '言', '玉', '口']"
诌,"['刀', '讠', '彐']"
識,"['戈', '音', '言']"
詭,"['刀', '厂', '乙', '言']"
誾,"['門', '言']"
讽,"['风', '讠']"
证,"['一', '讠', '止']"
詮,"['人', '玉', '言']"
讵,"['匚', '讠']"
讜,"['黑', '冖', '小', '言', '口']"
讫,"['一', '丿', '讠', '乙']"
讘,"['耳', '言']"
訂,"['一', '亅', '言']"
譍,"['广', '隹', '人', '言']"
詛,"['月', '一', '言']"
護,"['隹', '又', '艸', '言']"
諉,"['禾', '女', '言']"
诰,"['牛', '讠', '口']"
誑,"['玉', '犬', '言']"
訡,"['人', '丶', '言']"
讶,"['讠', '牙']"
謂,"['月', '田', '言']"
詢,"['勹', '日', '言']"
讪,"['讠', '山']"
诊,"['人', '讠', '彡']"
誘,"['禾', '丿', '言']"
譚,"['日', '十', '襾', '言']"
诺,"['丿', '讠', '一', '艸', '口']"
计,"['十', '讠']"
詋,"['儿', '口', '言']"
諊,"['勹', '米', '言']"
谅,"['小', '亠', '讠', '口']"
谄,"['臼', '刀', '讠']"
誡,"['戈', '廾', '言']"
谓,"['月', '讠', '田']"
議,"['羊', '戈', '手', '言']"
诋,"['丶', '氏', '讠']"
诩,"['羽', '讠']"
譎,"['八', '冂', '言', '矛', '口']"
譖,"['日', '丿', '无', '言']"
諍,"['刀', '彐', '亅', '言']"
託,"['一', '乙', '言']"
記,"['几', '言']"
設,"['殳', '言']"
詑,"['宀', '匕', '言']"
试,"['弋', '讠', '工']"
讳,"['韦', '讠']"
谮,"['日', '丿', '讠', '无']"
谒,"['勹', '人', '曰', '讠']"
誇,"['二', '大', '言']"
諜,"['木', '廾', '言']"
謐,"['心', '丿', '皿', '言']"
诼,"['勹', '一', '丶', '讠']"
诧,"['宀', '一', '讠', '乙']"
說,"['儿', '八', '口', '言']"
訕,"['山', '言']"
誚,"['月', '小', '言']"
讴,"['丿', '匚', '讠']"
誉,"['一', '八', '小', '言']"
谘,"['欠', '讠', '口', '冫']"
诽,"['讠', '非']"
谌,"['匚', '甘', '讠', '儿']"
諳,"['音', '言']"
諝,"['月', '疋', '言']"
訒,"['刀', '丶', '言']"
譜,"['日', '一', '八', '言']"
譔,"['一', '八', '艸', '言']"
譛,"['日', '人', '二', '言']"
讟,"['貝', '网', '言', '士']"
讀,"['貝', '网', '士', '言']"
謎,"['米', '辵', '言']"
謟,"['臼', '爪', '言']"
讯,"['十', '讠', '乙']"
謡,"['缶', '爪', '言']"
謀,"['甘', '木', '言']"
记,"['讠', '己']"
誅,"['一', '木', '言']"
谐,"['比', '白', '讠']"
誧,"['十', '丶', '用', '言']"
詀,"['卜', '口', '言']"
谴,"['丨', '讠', '一', '己', '口', '辵']"
訚,"['门', '言']"
谫,"['八', '刀', '讠', '月', '一']"
讕,"['門', '八', '丨', '木', '言', '口']"
诖,"['土', '讠']"
謧,"['丿', '凵', '禸', '亠', '言']"
谟,"['日', '大', '讠', '艸']"
讞,"['虍', '犬', '鬲', '言']"
诣,"['日', '匕', '讠']"
谯,"['火', '隹', '讠']"
説,"['儿', '八', '口', '言']"
諺,"['彡', '立', '厂', '言']"
奸,"['女', '干']"
媧,"['女', '口', '冂']"
娒,"['女', '丿', '毋', '一']"
妁,"['女', '丶', '勹']"
嬈,"['女', '一', '土', '儿']"
嫕,"['女', '匚', '心', '矢']"
姗,"['女', '一', '冂']"
嫏,"['女', '丶', '丨', '彐', '阝', '乙']"
婀,"['女', '亅', '阝', '一', '口']"
嫩,"['女', '攴', '木', '口']"
妹,"['女', '一', '木']"
姫,"['女', '臣']"
姞,"['女', '口', '士']"
嫂,"['女', '丨', '又', '臼']"
嫣,"['女', '一', '火', '止']"
嫚,"['女', '网', '又', '日']"
妄,"['女', '丶', '匸']"
娛,"['女', '大', '口']"
妩,"['女', '无']"
媞,"['女', '一', '日', '止']"
妒,"['女', '户']"
媚,"['女', '目', '丨']"
婼,"['女', '丿', '一', '艸', '口']"
娀,"['女', '丿', '戈', '一']"
婬,"['女', '爪', '士']"
媔,"['女', '面']"
媥,"['女', '户', '艸', '冂']"
娈,"['女', '八', '丨', '亠', '亅']"
姽,"['女', '刀', '厂', '乙']"
妻,"['女', '十', '聿']"
娯,"['女', '一', '八', '口']"
孅,"['女', '人', '戈', '韭']"
婳,"['女', '一', '凵', '田']"
姊,"['女', '丨']"
嫱,"['女', '土', '囗', '八']"
媯,"['女', '丿', '丶', '火']"
孀,"['女', '目', '木', '雨']"
娴,"['女', '门', '木']"
妗,"['女', '人', '丶']"
婭,"['女', '二']"
姝,"['女', '一', '木']"
嬰,"['女', '貝']"
婐,"['女', '田', '木']"
姸,"['女', '干', '亅']"
姒,"['女', '人', '丶', '乙']"
姬,"['女', '匚', '口']"
妯,"['女', '二', '丨', '凵']"
姉,"['女', '十', '巾']"
媄,"['女', '大', '羊']"
姮,"['女', '一', '日']"
嬾,"['女', '刀', '木', '貝', '口']"
妳,"['女', '刀', '小']"
妖,"['女', '大']"
妣,"['女', '比']"
姍,"['女', '一', '冂']"
妆,"['女', '爿']"
姺,"['女', '牛', '儿']"
娵,"['女', '又', '耳']"
嬌,"['女', '冂', '大', '口']"
媆,"['女', '而', '大']"
媬,"['女', '人', '木', '口']"
婧,"['女', '青']"
嫵,"['女', '火']"
媽,"['女', '馬']"
妎,"['女', '人']"
婊,"['女', '土', '一']"
媟,"['女', '木', '廾']"
媮,"['女', '人', '刀', '月', '一']"
嫋,"['女', '弓', '冫']"
嬛,"['女', '一', '网', '口']"
婁,"['女', '十', '口']"
婵,"['女', '二', '八', '丨', '十', '冂']"
嫺,"['女', '月', '門']"
嫒,"['女', '丿', '又', '爪', '冖', '一']"
媢,"['女', '二', '目', '冂']"
婷,"['女', '亅', '冖', '亠', '一', '口']"
嫭,"['女', '丿', '八', '虍', '一']"
媊,"['女', '八', '刀', '月', '一']"
媒,"['女', '甘', '木']"
妃,"['女', '己']"
娼,"['女', '日']"
婤,"['女', '田', '口']"
嬸,"['女', '宀', '田', '釆']"
婞,"['女', '土', '干', '八']"
姓,"['女', '生']"
婥,"['女', '十', '卜', '日']"
姤,"['女', '一', '口', '⺁']"
媵,"['女', '二', '八', '丨', '月']"
妵,"['女', '丶', '玉']"
妥,"['女', '爪']"
婿,"['女', '疋', '月']"
娸,"['女', '一', '甘', '八']"
婦,"['女', '冖', '彐', '巾']"
她,"['女', '丨', '乙']"
嫈,"['冖', '火', '女']"
姌,"['女', '土', '冂']"
孌,"['女', '糸', '言']"
嬭,"['女', '八', '巾', '丨', '爻', '一']"
妫,"['女', '丶', '力']"
娇,"['女', '大']"
姦,['女']
姐,"['女', '一', '月']"
媿,"['女', '鬼']"
妈,"['女', '马']"
姻,"['女', '囗', '大']"
嫜,"['女', '十', '立', '日']"
嫪,"['女', '人', '羽', '彡']"
好,"['女', '子']"
嫛,"['女', '匚', '殳', '矢']"
嫿,"['女', '一', '聿', '田']"
嬖,"['女', '尸', '辛', '口']"
娶,"['女', '又', '耳']"
如,"['女', '口']"
娱,"['女', '一', '大', '口']"
姨,"['女', '大', '弓']"
媭,"['女', '彡', '页']"
姁,"['女', '勹', '口']"
姹,"['女', '一', '宀', '乙']"
媖,"['女', '大', '艸', '冂']"
嫖,"['女', '襾', '示']"
妇,"['女', '彐']"
威,"['女', '一', '戈', '厂']"
嫟,"['女', '丿', '一', '匚', '艸', '口']"
媳,"['女', '自', '心']"
嬔,"['女', '丶', '乙', '刀', '丨', '生', '口']"
媼,"['女', '囗', '皿', '人']"
奼,"['女', '一', '乙']"
娩,"['女', '乙', '刀', '丨', '口']"
嫡,"['女', '子', '八', '亠', '欠']"
妮,"['女', '尸', '匕']"
媺,"['女', '山', '一', '几', '攴']"
妊,"['女', '士']"
嬝,"['女', '一', '丶', '衣']"
嫄,"['女', '白', '厂', '小']"
妞,"['女', '二', '刀']"
嬬,"['女', '而', '雨']"
姅,"['女', '二', '丨', '八']"
婴,['女']
媪,"['女', '皿', '日']"
嫫,"['女', '大', '艸', '日']"
娌,"['女', '里']"
娲,"['女', '人', '冂', '口']"
姿,"['女', '欠', '冫']"
嬴,"['女', '丶', '匸', '月', '几', '口']"
娿,"['女', '亅', '阝', '一', '口']"
嬗,"['女', '囗', '亠', '日', '一']"
妤,"['女', '亅', '乙']"
嫉,"['女', '疒', '矢']"
妸,"['女', '一', '口', '亅']"
嬀,"['女', '丿', '火', '爪']"
姜,"['羊', '女']"
妪,"['女', '匚', '丿']"
妷,"['女', '人', '二']"
婗,"['女', '儿', '臼']"
娅,"['女', '一', '八']"
娉,"['女', '二', '凵', '丨', '一']"
嫦,"['女', '巾', '冖', '小', '口']"
婆,"['女', '皮', '水']"
婚,"['女', '氏', '日']"
姣,"['女', '丿', '亠', '八']"
妺,"['女', '一', '木']"
奶,"['女', '丿']"
媤,"['女', '田', '心']"
奴,"['女', '又']"
媲,"['女', '囗', '丶', '丿']"
妝,"['女', '爿']"
妙,"['女', '丿', '小']"
嬃,"['頁', '彡', '女']"
嬶,"['女', '鼻']"
嬷,"['女', '丿', '厶', '麻']"
嫐,"['女', '田', '力']"
始,"['女', '厶', '口']"
婉,"['女', '宀', '乙', '夕']"
媻,"['女', '舟', '殳']"
嬪,"['女', '丿', '貝', '小', '宀', '一']"
婕,"['女', '十', '聿', '止']"
委,"['禾', '女']"
娥,"['女', '戈', '手']"
嫔,"['女', '宀', '八', '斤', '一']"
妘,"['女', '二', '厶']"
娣,"['女', '丨', '弓', '八']"
娠,"['女', '辰']"
妲,"['女', '一', '日']"
嬅,"['女', '二', '丨', '一', '艸']"
嬤,"['女', '幺', '麻']"
妍,"['女', '一', '廾']"
嬡,"['女', '心', '夂', '爪', '冖']"
娆,"['女', '一', '儿']"
姑,"['女', '十', '口']"
娑,"['女', '丿', '水', '小']"
娙,"['女', '一', '川', '工']"
媾,"['女', '二', '土', '一', '冂']"
嬓,"['女', '攴', '白', '方']"
姥,"['女', '老']"
嫌,"['女', '一', '八', '彐']"
孃,"['女', '二', '衣', '一', '口']"
娃,"['女', '土']"
娘,"['女', '丶', '艮']"
姪,"['女', '至']"
媛,"['女', '干', '又', '爪']"
婪,"['女', '木']"
嫗,"['女', '匚', '口']"
姱,"['女', '二', '大']"
妨,"['女', '方']"
嫰,"['女', '欠', '木', '口']"
娄,"['女', '米']"
娭,"['女', '厶', '矢']"
嬢,"['女', '二', '八', '亠', '一']"
嬎,"['女', '乙', '刀', '丨', '生', '口']"
娓,"['女', '毛', '尸']"
媸,"['女', '一', '虫', '屮']"
嫁,"['女', '宀', '豕']"
婾,"['女', '人', '川', '月', '一']"
嬙,"['女', '土', '囗', '人']"
姘,"['女', '一', '廾', '八']"
嫻,"['女', '木', '門']"
妬,"['女', '石']"
嬉,"['女', '八', '士', '一', '口']"
姢,"['女', '厶', '月']"
娖,"['女', '足']"
媕,"['女', '人', '廾', '一', '口']"
嬋,"['女', '二', '丨', '十', '口', '冂']"
娬,"['女', '二', '戈', '止']"
婺,"['女', '矛', '攴']"
媍,"['女', '貝', '刀']"
妓,"['女', '支']"
婢,"['女', '二', '丶', '丨', '十', '冂']"
姆,"['女', '毋']"
姚,"['女', '冫', '儿']"
嬿,"['女', '火', '匕', '廾', '口']"
姙,"['女', '人', '士']"
娟,"['女', '月', '口']"
妾,"['女', '立']"
嫘,"['女', '田', '糸']"
娜,"['女', '二', '丨', '阝']"
婶,"['女', '丨', '宀', '日']"
婣,"['女', '一']"
嫠,"['女', '木', '厂', '一', '攴']"
鶼,"['鳥', '一', '八', '彐']"
鹛,"['目', '丨', '鸟']"
鶇,"['日', '鳥', '木']"
鸽,"['一', '人', '鸟', '口']"
鹬,"['八', '冂', '矛', '鸟', '口']"
鸮,"['一', '鸟', '口']"
鶂,"['臼', '鳥', '儿']"
鹮,"['一', '网', '鸟', '口']"
鹢,"['一', '八', '鸟', '皿']"
鹘,"['骨', '鸟']"
鶄,"['鳥', '青']"
鴯,"['鳥', '而']"
鷃,"['日', '鳥', '宀', '女']"
鵜,"['鳥', '丨', '弓', '八']"
鷟,"['鳥', '丿', '方', '矢', '一']"
鵑,"['月', '鳥', '口']"
鸰,"['人', '丶', '鸟']"
鶥,"['鳥', '目', '丨']"
鵠,"['鳥', '牛', '口']"
鹑,"['子', '亠', '鸟', '口']"
鹚,"['幺', '一', '鸟', '八']"
鵯,"['鳥', '二', '丶', '丨', '十', '冂']"
鷦,"['鳥', '火', '隹']"
鹣,"['一', '八', '彐', '鸟']"
鴛,"['鳥', '乙', '夕']"
鸪,"['十', '鸟', '口']"
鶚,"['鳥', '二', '口']"
鸼,"['鸟', '舟']"
鸨,"['十', '匕', '鸟']"
鹫,"['丶', '亠', '小', '尢', '鸟', '口']"
鶻,"['骨', '鳥']"
鹓,"['宀', '鸟', '乙', '夕']"
鶲,"['鳥', '厶', '羽', '八']"
鸚,"['女', '鳥', '貝']"
鶃,"['鳥', '儿', '臼']"
鷔,"['鳥', '丿', '土', '一', '攴']"
鴺,"['鳥', '大', '弓']"
鳬,"['一', '丶', '几']"
鶦,"['月', '十', '鳥', '口']"
鹙,"['禾', '火', '鸟']"
鵬,"['鳥', '月']"
鴟,"['鳥', '丶', '氏']"
鹍,"['日', '鸟', '比']"
鴈,"['鳥', '人', '厂']"
鹡,"['月', '人', '鸟', '冫']"
鷯,"['鳥', '八', '大', '小', '日']"
鸊,"['鳥', '尸', '辛', '口']"
鸝,"['鳥', '一', '鹿']"
鶩,"['鳥', '矛', '攴']"
鶊,"['鳥', '广', '聿', '八']"
鹆,"['鸟', '谷']"
鸲,"['勹', '鸟', '口']"
鴣,"['鳥', '十', '口']"
鴠,"['日', '一', '鳥']"
鸛,"['鳥', '隹', '艸', '口']"
鳳,"['鳥', '一', '几']"
鶖,"['禾', '火', '鳥']"
鹌,"['丨', '大', '日', '鸟', '乙']"
鹒,"['广', '聿', '八', '鸟']"
鹎,"['二', '丶', '丨', '十', '鸟', '冂']"
鸕,"['虍', '鳥', '田', '皿']"
鹜,"['矛', '鸟', '攴']"
鸠,"['丿', '鸟']"
鸋,"['心', '鳥', '皿', '宀', '一', '亅']"
鷗,"['鳥', '匚', '口']"
鶉,"['鳥', '子', '亠', '口']"
鹦,"['女', '鸟']"
鹖,"['勹', '人', '曰', '鸟']"
鹳,"['隹', '鸟', '艸', '口']"
鸢,"['弋', '鸟']"
鸸,"['而', '鸟']"
鶪,"['鳥', '目', '犬']"
鳦,"['鳥', '乙']"
鸷,"['丿', '丶', '鸟', '手']"
鷁,"['鳥', '一', '八', '皿']"
鶵,"['鳥', '勹', '艸']"
鵾,"['日', '鳥', '比']"
鸡,"['又', '鸟']"
鵭,"['鳥', '金']"
鳶,"['鳥', '弋']"
鵻,"['鳥', '隹']"
鷘,"['鳥', '攴', '木', '口']"
鷇,"['鳥', '士', '冖', '一', '殳']"
鸑,"['鳥', '犬', '言']"
鴝,"['勹', '鳥', '口']"
鵶,"['鳥', '二']"
鵪,"['鳥', '丨', '大', '日', '乙']"
鹈,"['丨', '弓', '八', '鸟']"
鴷,"['鳥', '刀', '歹']"
鷹,"['鳥', '广', '隹', '人']"
鷾,"['心', '鳥', '音']"
鷊,"['鳥', '鬲']"
鷓,"['鳥', '广', '火', '廾']"
鸒,"['鳥', '八', '丨', '臼', '一']"
鴎,"['鳥', '匚', '丿']"
鴥,"['鳥', '穴']"
