char,category
需,Both
雰,Both
霍,Both
霞,Both
庇,Both
廒,Both
庹,Both
廨,Both
康,Both
庈,Both
廛,Both
庀,Both
廖,Both
庤,Both
底,Both
廆,Both
敬,Both
散,Both
敜,Both
敢,Both
敖,Both
幪,Both
帨,Both
幮,Traditional
帟,Both
幔,Both
幭,Both
帗,Both
幨,Both
帑,Both
幋,Both
窟,Both
窳,Both
穸,Both
窬,Both
空,Both
穹,Both
穿,Both
窀,Both
窿,Both
窾,Both
穵,Both
窞,Both
窄,Both
窽,Both
窣,Both
窈,Both
窘,Both
窅,Both
究,Both
竁,Both
窒,Both
窸,Both
窆,Both
窨,Both
窔,Both
醰,Both
酯,Both
酌,Both
酡,Both
酮,Both
醽,Both
酥,Both
酪,Both
醛,Both
醐,Both
醝,Both
酞,Both
酴,Both
酊,Both
醨,Both
酒,Both
醅,Both
酰,Both
醢,Both
酲,Both
配,Both
醂,Both
酺,Both
酵,Both
醌,Both
酣,Both
酩,Both
醚,Both
醪,Both
醹,Both
酐,Both
醍,Both
醮,Both
酗,Both
醴,Both
醺,Both
醯,Both
酏,Both
酚,Both
釄,Both
醭,Both
醵,Both
酎,Both
醋,Both
醁,Both
酤,Both
酷,Both
畹,Both
畟,Both
畇,Both
畬,Both
畯,Both
番,Both
畈,Both
畤,Both
鞅,Both
靸,Both
鞨,Both
鞓,Both
鞠,Both
鞗,Both
鞶,Both
鞚,Both
鞣,Both
趣,Both
起,Both
趔,Both
